Technology,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,Unnamed: 43,Unnamed: 44,Unnamed: 45
PHS,UK,31771.999999999996,31771.999999999996,31771.999999999996,31771.999999999996,31771.999999999996,31771.999999999996,31771.999999999996,31771.999999999996,31771.999999999996,31771.999999999996,31771.999999999996,31771.999999999996,31771.999999999996,31771.999999999996,31771.999999999996,31771.999999999996,31771.999999999996,31771.999999999996,31771.999999999996,31771.999999999996,31771.999999999996,31771.999999999996,31771.999999999996,31771.999999999996,31771.999999999996,33800.0,33800.0,33800.0,33800.0,33800.0,33800.0,33800.0,33800.0,33800.0,33800.0,33800.0,33800.0,33800.0,33800.0,33800.0,33800.0,,,
LOB,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.0,400.0,590.0,860.0,1380.0,1990.0,2930.0,4490.0,5670.0,6870.0,8490.0,9720.0,,,
CAES,UK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
PHS,Chile ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3899.9999999999995,3899.9999999999995,3899.9999999999995,3899.9999999999995,3899.9999999999995,3899.9999999999995,3899.9999999999995,3899.9999999999995,7799.999999999999,18200.0,,,
LOB,Chile ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.924400000000006,41.924400000000006,41.924400000000006,111.79840000000002,111.79840000000002,111.79840000000002,153.7228,195.64720000000003,111.79840000000002,111.79840000000002,111.79840000000002,144.738995009,147.73358502700003,150.728209982,153.7228,156.717390018,159.712014973,162.706604991,165.701195009,168.69578502700003,171.69040998200003,174.685,,,
CAES,Chile ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5990.0,5990.0,5990.0,5990.0,5990.0,,,
LOB,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,56.0,2.0,16.0,83.0,255.0,270.0,507.0,459.0,573.0,8437.0,11105.0,31156.816600000002,32891.438650000004,35111.685000000005,38876.14675,,,,,,,
PHS,US,249599.99999999997,263900.0,263900.0,263900.0,263900.0,269100.0,274300.0,278200.0,278200.0,278200.0,278200.0,278200.0,278200.0,278200.0,278200.0,278200.0,278200.0,280800.0,280800.0,280800.0,240642.99999999997,241656.99999999997,242644.99999999997,242917.99999999997,244087.99999999997,245257.99999999997,247350.99999999997,247766.99999999997,248026.99999999997,247324.99999999997,250418.99999999997,219244.99999999997,216072.99999999997,217671.99999999997,,,,,,,,,,
CAES,US,0.0,0.0,1000.0000000000001,1000.0000000000001,1000.0000000000001,1000.0000000000001,1000.0000000000001,1000.0000000000001,1000.0000000000001,1000.0000000000001,1000.0000000000001,1000.0000000000001,1000.0000000000001,1000.0000000000001,1000.0000000000001,1000.0000000000001,1000.0000000000001,1020.0,1020.0,1020.0,1020.0,1020.0,1020.0,1020.0,1020.0,1020.0,1020.0,1020.0,1020.0,1020.0,1020.0,1020.0,1000.0000000000001,1100.0,1100.0,4100.0,7100.000000000001,23100.0,,,,,,
LOB,China,,,,,,,,,,,,,,,,,,,,,,,205.20000000000002,215.1,233.1,234.0,279.90000000000003,772.2,1273.5,3014.1,5577.3,12648.6,,,,,,,,,,,,
