"Variable Name","METC"
"Desc","LCOE (as seen by investors) incl carbon price, subsidies, FiT (2013$/MWh)"
"Unit","$2013/MWh"
"Type","Levels"
"scenario","dimension","dimension2","dimension3","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050"
"S0","15 UK (UK)","25 LiB","None",0.0,0.0,0.0,70.15025202174573,70.15025202174573,70.15025202174573,70.15025202174573,70.15025202174573,70.15025202174573,70.15025202174573,70.15025202174573,70.06121313178554,70.00738274751708,69.87920108505774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"S0","15 UK (UK)","26 PHS","None",0.0,0.0,0.0,54.7019074096947,54.7019074096947,54.7019074096947,54.7019074096947,54.7019074096947,54.7019074096947,54.7019074096947,54.7019074096947,54.70116775563772,54.70088961653148,54.70070564777165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"S0","15 UK (UK)","27 CAES","None",0.0,0.0,0.0,38.566248388581414,38.566248388581414,38.566248388581414,38.566248388581414,38.566248388581414,38.566248388581414,38.566248388581414,38.566248388581414,38.566176675833496,38.56557764282109,38.56531126766515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"S0","34 USA (US)","25 LiB","None",0.0,0.0,0.0,70.26848364150037,70.26848364150037,70.26848364150037,70.26848364150037,70.26848364150037,70.26848364150037,70.26848364150037,70.26848364150037,70.17944475154016,70.12561436727171,69.99743270481237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"S0","34 USA (US)","26 PHS","None",0.0,0.0,0.0,83.46416519008291,83.46416519008291,83.46416519008291,83.46416519008291,83.46416519008291,83.46416519008291,83.46416519008291,83.46416519008291,83.46300093162854,83.46256312451736,83.46227354700213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"S0","34 USA (US)","27 CAES","None",0.0,0.0,0.0,47.37575153878366,47.37575153878366,47.37575153878366,47.37575153878366,47.37575153878366,47.37575153878366,47.37575153878366,47.37575153878366,47.37565721279454,47.374869286197786,47.37451891473956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"S0","41 China (CN)","25 LiB","None",0.0,0.0,0.0,70.20597167166952,70.20597167166952,70.20597167166952,70.20597167166952,70.20597167166952,70.20597167166952,70.20597167166952,70.20597167166952,70.11693278170932,70.06310239744087,69.93492073498152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"S0","41 China (CN)","26 PHS","None",0.0,0.0,0.0,36.95217782071378,36.95217782071378,36.95217782071378,36.95217782071378,36.95217782071378,36.95217782071378,36.95217782071378,36.95217782071378,36.95169798602812,36.95151754925588,36.95139820347362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"S0","41 China (CN)","27 CAES","None",0.0,0.0,0.0,24.548583330935102,24.548583330935102,24.548583330935102,24.548583330935102,24.548583330935102,24.548583330935102,24.548583330935102,24.548583330935102,24.548547051755005,24.54824400345224,24.54810924537174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"S0","44 Brazil (BR)","25 LiB","None",0.0,0.0,0.0,70.21866645513381,70.21866645513381,70.21866645513381,70.21866645513381,70.21866645513381,70.21866645513381,70.21866645513381,70.21866645513381,70.12962756517362,70.07579718090517,69.94761551844582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
