Technology,Country,Scenario,MAE,Future Predictions
PHS,United Kingdom,Positive,,"[37698.40010840759, 37776.05060163285, 37853.70109485811, 37931.351588083366, 38009.00208130862, 38086.65257453388, 38164.303067759145, 38241.9535609844, 38319.60405420966, 38397.25454743492, 38474.905040660175, 38552.55553388543, 38630.20602711069, 38707.85652033595, 38785.507013561204, 38863.15750678646, 38940.80800001172, 39018.458493236976, 39096.10898646223, 39173.75947968749, 39251.409972912756]"
PHS,United States,Positive,,"[253412.3787169622, 251760.15244180785, 250107.92616665346, 248455.69989149913, 246803.47361634474, 245151.2473411904, 243499.02106603602, 241846.7947908817, 240194.5685157273, 238542.34224057294, 236890.11596541858, 235237.88969026422, 233585.66341510986, 231933.4371399555, 230281.21086480113, 228628.98458964675, 226976.7583144924, 225324.53203933802, 223672.3057641837, 222020.0794890293, 220367.85321387497]"
PHS,China,Positive,,"[419320.8195945412, 419320.8212901281, 419320.82298571506, 419320.824681302, 419320.82637688896, 419320.8280724759, 419320.8297680628, 419320.83146364975, 419320.8331592367, 419320.83485482365, 419320.83655041055, 419320.8382459975, 419320.83994158445, 419320.8416371714, 419320.8433327583, 419320.84502834524, 419320.8467239322, 419320.84841951914, 419320.85011510603, 419320.851810693, 419320.85350627993]"
PHS,Brazil,Positive,,"[2605.1453999999994, 2605.1453999999994, 2605.1453999999994, 2605.1453999999994, 2605.1453999999994, 2605.1453999999994, 2605.1453999999994, 2605.1453999999994, 2605.1453999999994, 2605.1453999999994, 2605.1453999999994, 2605.1453999999994, 2605.1453999999994, 2605.1453999999994, 2605.1453999999994, 2605.1453999999994, 2605.1453999999994, 2605.1453999999994, 2605.1453999999994, 2605.1453999999994, 2605.1453999999994]"
LiB,United Kingdom,Positive,,"[4061.9174815117894, 4205.380184855672, 4348.842888199554, 4492.305591543436, 4635.768294887318, 4779.230998231201, 4922.693701575083, 5066.156404918965, 5209.6191082628475, 5353.081811606729, 5496.544514950611, 5640.007218294493, 5783.469921638376, 5926.932624982258, 6070.39532832614, 6213.858031670022, 6357.320735013905, 6500.7834383577865, 6644.246141701668, 6787.708845045551, 6931.171548389432]"
LiB,United States,Positive,,"[40217.99168771847, 41630.27910026118, 43042.566512803875, 44454.85392534657, 45867.141337889276, 47279.42875043197, 48691.71616297467, 50104.003575517374, 51516.29098806008, 52928.57840060277, 54340.86581314547, 55753.15322568816, 57165.440638230866, 58577.72805077357, 59990.01546331626, 61402.302875858964, 62814.59028840167, 64226.87770094436, 65639.16511348706, 67051.45252602977, 68463.73993857246]"
LiB,China,Positive,,"[39415.972134498006, 40797.137592435465, 42178.30305037291, 43559.46850831037, 44940.63396624781, 46321.79942418527, 47702.96488212273, 49084.130340060176, 50465.29579799762, 51846.46125593508, 53227.62671387254, 54608.79217180998, 55989.95762974744, 57371.123087684886, 58752.288545622345, 60133.454003559804, 61514.61946149725, 62895.78491943471, 64276.95037737215, 65658.11583530961, 67039.28129324707]"
LiB,Brazil,Positive,,"[227.62151222446545, 234.59534008011263, 241.56916793575982, 248.54299579140695, 255.51682364705414, 262.49065150270127, 269.46447935834846, 276.4383072139956, 283.4121350696428, 290.38596292528996, 297.3597907809371, 304.3336186365843, 311.3074464922314, 318.2812743478786, 325.2551022035257, 332.2289300591729, 339.2027579148201, 346.1765857704672, 353.1504136261144, 360.12424148176154, 367.09806933740873]"
CAES,United Kingdom,Positive,,"[14.821268169723506, 15.290868163575539, 15.760468157427567, 16.230068151279596, 16.699668145131625, 17.169268138983654, 17.638868132835682, 18.10846812668771, 18.57806812053974, 19.04766811439177, 19.517268108243798, 19.986868102095826, 20.456468095947855, 20.926068089799884, 21.395668083651913, 21.86526807750394, 22.334868071355974, 22.804468065208003, 23.27406805906003, 23.74366805291206, 24.21326804676409]"
CAES,United States,Positive,,"[17092.60124287442, 17663.68580892058, 18234.77037496674, 18805.8549410129, 19376.93950705906, 19948.02407310522, 20519.10863915138, 21090.193205197542, 21661.277771243706, 22232.362337289866, 22803.446903336026, 23374.531469382186, 23945.616035428346, 24516.700601474506, 25087.785167520666, 25658.869733566826, 26229.954299612986, 26801.038865659146, 27372.123431705306, 27943.207997751462, 28514.292563797626]"
CAES,China,Positive,,"[5592.814007495995, 5787.097446225559, 5981.380884955123, 6175.664323684688, 6369.94776241425, 6564.231201143814, 6758.514639873379, 6952.798078602943, 7147.081517332507, 7341.36495606207, 7535.648394791634, 7729.931833521198, 7924.215272250763, 8118.498710980325, 8312.782149709888, 8507.065588439455, 8701.349027169017, 8895.632465898583, 9089.915904628146, 9284.199343357708, 9478.482782087274]"
