Country,Technology,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
United Kingdom,LiB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065,0.09,0.245,0.4,0.59,0.86,1.38,1.99,2.93,3.122113746,3.304327849,3.477254887,3.641458086,3.89056873,4.03318426,4.16896304,4.29827088,4.43207271,4.57425917,4.7039299,4.85071645,4.99040374,5.12258906,5.26354325,5.39807489,5.54349712,5.68410665,5.81415117,5.94249907,6.09371611,6.23141929,6.38157858,6.50625978,6.63232778
United Kingdom,PHS,31.772,31.772,31.772,31.772,31.772,31.772,31.772,31.772,31.772,31.772,31.772,31.772,31.772,31.772,31.772,31.772,31.772,31.772,31.772,31.772,31.772,31.772,31.772,31.772,31.772,33.8,33.8,33.8,33.8,33.8,33.8,33.8,33.8,33.8,33.8,33.8,33.8,33.8,33.8,33.8,36.70126472,36.66621483,36.88429274,36.90653978,37.0198912,37.02726524,37.15519485,37.21353033,37.22817277,37.33274227,37.38343989,37.50815288,37.58147744,37.6472968,37.66529934,37.87256326,37.81008262,37.91204495,38.08960537,38.0815712,38.14006575
United Kingdom,CAES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01407972,0.01453413,0.01495976,0.0154256,0.01587899,0.01627362,0.01673165,0.01716148,0.01764887,0.01811181,0.01853297,0.01900016,0.01938674,0.01987424,0.02030648,0.02074917,0.02123251,0.02167088,0.0220428,0.02250073,0.02303604
United States,LiB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0.017,0.056,0.002,0.016,0.083,0.255,0.27,0.507,0.459,0.573,8.437,11.105,31.1568166,32.89143865,35.111685,35.60569982,36.27205392,37.08455644,37.99671945,37.58175912,38.93747031,40.33456649,41.6453715,42.92200361,44.32270527,45.46054327,46.98845928,48.0264811,49.54539611,51.01381021,52.24597147,53.57798917,54.8482503,55.96645327,57.43475633,58.68543475,59.86643703,61.44959309,62.66056716,64.01653534
United States,PHS,249.6,263.9,263.9,263.9,263.9,269.1,274.3,278.2,278.2,278.2,278.2,278.2,278.2,278.2,278.2,278.2,278.2,280.8,280.8,280.8,240.643,241.657,242.645,242.918,244.088,245.258,247.351,247.767,248.027,247.325,250.419,219.245,216.073,217.672,219.282833,220.9055867,225.5219779,224.1872093,225.8462567,227.5175815,243.9875429,242.1828271,240.7084389,238.331794,237.4962842,235.6149847,234.2713396,232.5320741,231.4145789,229.3513271,227.1742313,226.6054827,224.5986941,223.4317504,221.7530831,219.9797416,218.9736664,216.9955279,215.0204378,213.7456646,211.8503194
United States,CAES,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1,1.1,1.1,4.1,6.390741976,8.336952395,9.999708837,11.44193624,15.55370988,16.12179407,16.6507346,17.21084585,17.67123986,18.11952995,18.72563034,19.22601794,19.7630529,20.30061614,20.87184393,21.31314027,21.90198484,22.43231865,22.99182155,23.44160114,23.85531117,24.56510183,24.9780476,25.54337059,26.03029203
China,LiB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09765,0.2052,0.2151,0.2331,0.234,0.2799,0.7722,1.2735,3.0141,5.5773,12.6486,15.304806,18.82491138,23.154641,28.48020843,29.95561758,31.36661014,32.77418861,34.14209324,35.85725418,37.0105804,38.4045025,39.61371177,40.70669564,42.09002392,43.22743176,44.69409655,45.92483635,47.1089944,48.45278524,49.73783716,50.90105353,52.15228274,53.37930965,54.61774828,55.81022314,57.54165287,58.18173381,59.73172296,61.16466404
China,PHS,1.3,1.3,3.9,7.8,19.5,19.5,27.3,40.3,48.1,67.6,72.8,74.1,74.1,74.1,74.1,81.9,104,117,144.3,204.1,232.7,253.5,269.1,279.929,287.43,299.39,346.97,382.07,388.7,393.77,394.16,473.07,595.27,662.22,728.442,779.43294,833.9932458,892.372773,954.8388671,1021.677588,1093.195019,1169.71867,1251.598977,1339.210906,1432.955669,1533.262566,1640.590945,1755.432312,1878.312573,2009.794454,2150.480065,2301.01367,2462.084627,2634.430551,2818.840689,3016.159537,3227.290705,3453.201054,3694.925128,3953.569887,4230.319779
China,CAES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005,0.0005,0.0005,0.0005,0.0405,0.0405,0.0405,0.0405,0.0405,0.3405,0.3405,5.696021876,5.875918118,6.057942577,6.224003738,6.420410573,6.560526763,6.757190699,6.914741844,7.14646091,7.311318343,7.474942762,7.668731007,7.831753313,8.006848132,8.210835664,8.435417974,8.570904947,9.642268065,10.51007219,11.45597869,12.48701677,13.61084828,14.83582462,16.17104884,17.62644324,19.21282313,20.94197721
Brazil,LiB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0419244,0.0419244,0.0419244,0.1117984,0.1117984,0.1117984,0.1537228,0.1956472,0.1117984,0.1117984,0.1117984,0.144738995,0.147733585,0.15072821,0.1537228,0.15671739,0.159712015,0.162706605,0.165701195,0.168695785,0.17169041,0.226213295,0.232375155,0.238932469,0.245563325,0.251924924,0.258464969,0.265426392,0.271640453,0.276895025,0.284807806,0.289648276,0.295831058,0.303089746,0.310621003,0.317213702,0.321992783,0.329390548,0.336559785,0.343326283
Brazil,PHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4882,2.4882,2.4882,2.4882,2.4882,2.4882,2.4882,2.4882,2.4882,2.4882,2.4882,2.4882,2.4882,2.4882,2.4882,2.4882,2.4882,2.4882,2.4882,2.4882,2.4882,2.4882,2.59362048,2.593017049,2.593122468,2.593004389,2.593236263,2.591985416,2.594336161,2.592899606,2.591953466,2.592215192,2.592344781,2.590995856,2.592896116,2.592911588,2.59361982,2.592608668,2.591786625,2.593695474,2.592385896,2.59283789
Brazil,CAES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000757007,0.00078275,0.000806258,0.000831417,0.000859103,0.000883289,0.000908686,0.000933644,0.000955033,0.00098038,0.001007051,0.001031984,0.001056753,0.001081769,0.001108382,0.001135825,0.001163211,0.001183149,0.001209482,0.001231528,0.001258725
